,date,id_coord,plume,lat,lon,city,country_co,country,company,sector,Concentrat,Max Plume,plume_comp,Emission,Duration,Total,CO2eq,Credit,Status,Contact,Site,geometry,datetime
0,20230223,id_6675,yes,31.52875,74.330625,Lahore,PK,Pakistan,TerraCoal Mining Co.,Livestock and Agriculture,,,,11.0,45.0,0.5,14.0,1400000.0,Ongoing,env.sust.office@pakistan.gouv.pk,6675,POINT (74.330625 31.52875),2023-02-23 00:00:00
1,20230103,id_2542,yes,35.538,112.524,Fengcheng,CN,China,CrystalPeak Oil & Gas,Landfills,,,,50.0,236.0,11.8,330.4,33040000.0,Ongoing,csr.commission@china.gouv.cn,2542,POINT (112.524 35.538),2023-01-03 00:00:00
2,20230301,id_6546,yes,21.06,84.93666666666667,Angul,IN,India,PowerCorp Energy Group,Hydraulic Fracturing (Fracking),,,,79.0,50.0,3.95,110.6,11060000.0,To Be Verified,sustain.dept@india.gouv.in,6546,POINT (84.93666666666667 21.06),2023-03-01 00:00:00
3,20230225,id_6084,yes,26.756666666666664,80.97333333333334,Lucknow,IN,India,BlackDiamond Mining,Livestock and Agriculture,,,,29.0,67.0,1.94,54.32,5432000.0,To Be Verified,esg.office@india.gouv.in,6084,POINT (80.97333333333334 26.756666666666664),2023-02-25 00:00:00
4,20230105,id_2012,yes,34.8,40.77,Hajin,SY,Syrian Arab Republic,PowerCorp Energy Group,Hydraulic Fracturing (Fracking),,,,31.0,36.0,1.12,31.36,3136000.0,Closed,csr.division@syrianarabrepublic.gouv.sy,2012,POINT (40.77 34.8),2023-01-05 00:00:00
5,20230221,id_9028,yes,22.286666666666665,73.12666666666667,Padra,IN,India,EnergyLink Holdings,Coal Seam Fires,,,,38.0,196.0,7.45,208.6,20860000.0,Closed,esg.authority@india.gouv.in,9028,POINT (73.12666666666667 22.286666666666665),2023-02-21 00:00:00
6,20230129,id_6464,yes,27.0075,81.03999999999999,Dewa,IN,India,BlackDiamond Mining,Livestock and Agriculture,,,,76.0,62.0,4.71,131.88,13188000.0,Closed,green.dept@india.gouv.in,6464,POINT (81.03999999999999 27.0075),2023-01-29 00:00:00
7,20230327,id_2274,yes,28.51,77.44239999999999,Greater Noida,IN,India,NovaGold Resources,Coal Seam Fires,,,,34.0,146.0,4.96,138.88,13888000.0,Ongoing,sustainability.board@india.gouv.in,2274,POINT (77.44239999999999 28.51),2023-03-27 00:00:00
8,20230303,id_9482,yes,23.95375,90.21875,Mirzapur,BD,Bangladesh,CoalRidge Exploration,Hydraulic Fracturing (Fracking),,,,16.0,62.0,0.99,27.72,2772000.0,Ongoing,esg.compliance@bangladesh.gouv.bd,9482,POINT (90.21875 23.95375),2023-03-03 00:00:00
9,20230206,id_9857,yes,23.1375,72.495,Adalaj,IN,India,CoalRidge Exploration,Hydraulic Fracturing (Fracking),,,,28.0,233.0,6.52,182.56,18256000.0,Closed,eco.authority@india.gouv.in,9857,POINT (72.495 23.1375),2023-02-06 00:00:00
10,20230116,id_3733,yes,26.42428571428572,80.28428571428572,Kanpur,IN,India,BlackDiamond Mining,Livestock and Agriculture,,,,21.0,38.0,0.8,22.4,2240000.0,Closed,env.sust.office@india.gouv.in,3733,POINT (80.28428571428572 26.42428571428572),2023-01-16 00:00:00
11,20230212,id_4447,yes,53.95454545454545,87.7790909090909,Myski,RU,Russian Federation,PetroPrime Exploration,Livestock and Agriculture,,,,69.0,469.0,32.36,906.08,90608000.0,Ongoing,csr.commission@russianfederation.gouv.ru,4447,POINT (87.7790909090909 53.95454545454545),2023-02-12 00:00:00
12,20230120,id_9715,yes,19.12400000000001,72.886,Powai,IN,India,SilverRock Mining Group,Landfills,,,,78.0,119.0,9.28,259.84,25984000.0,Ongoing,sustainability.board@india.gouv.in,9715,POINT (72.886 19.12400000000001),2023-01-20 00:00:00
13,20230120,id_0080,yes,23.21333333333333,90.78,Hajiganj,BD,Bangladesh,DiamondQuest Resources,Coal Seam Fires,,,,56.0,98.0,5.49,153.72,15372000.0,Closed,esg.authority@bangladesh.gouv.bd,0080,POINT (90.78 23.21333333333333),2023-01-20 00:00:00
14,20230301,id_6747,yes,25.79,85.395,Hajipur,IN,India,GlobalEnergy Resources,Coal Mining,,,,11.0,27.0,0.3,8.4,840000.0,To Be Verified,esg.office@india.gouv.in,6747,POINT (85.395 25.79),2023-03-01 00:00:00
15,20230216,id_4447,yes,53.95454545454545,87.7790909090909,Myski,RU,Russian Federation,PowerCorp Energy Group,Hydraulic Fracturing (Fracking),,,,29.0,37.0,1.07,29.96,2996000.0,To Be Verified,green.regulator@russianfederation.gouv.ru,4447,POINT (87.7790909090909 53.95454545454545),2023-02-16 00:00:00
16,20230216,id_4447,yes,53.95454545454545,87.7790909090909,Myski,RU,Russian Federation,TitanOil & Gas Ltd.,Landfills,,,,78.0,135.0,10.53,294.84,29484000.0,Closed,eco.authority@russianfederation.gouv.ru,4447,POINT (87.7790909090909 53.95454545454545),2023-02-16 00:00:00
17,20230307,id_3192,yes,32.845,116.47,Gudian,CN,China,PetroTech Industries,Coal Seam Fires,,,,72.0,4.0,0.29,8.12,812000.0,Ongoing,green.regulator@china.gouv.cn,3192,POINT (116.47 32.845),2023-03-07 00:00:00
18,20230110,id_8446,yes,22.930625,72.536875,Sarkhej,IN,India,PetroPrime Exploration,Livestock and Agriculture,,,,32.0,61.0,1.95,54.6,5460000.0,Closed,csr.commission@india.gouv.in,8446,POINT (72.536875 22.930625),2023-01-10 00:00:00
19,20230216,id_8446,yes,22.930625,72.536875,Sarkhej,IN,India,PowerCorp Energy Group,Hydraulic Fracturing (Fracking),,,,74.0,135.0,9.99,279.72,27972000.0,To Be Verified,green.regulator@india.gouv.in,8446,POINT (72.536875 22.930625),2023-02-16 00:00:00
20,20230130,id_7566,yes,23.802,90.261,Azimpur,BD,Bangladesh,DiamondQuest Resources,Coal Seam Fires,,,,48.0,22.0,1.06,29.68,2968000.0,Ongoing,green.regulator@bangladesh.gouv.bd,7566,POINT (90.261 23.802),2023-01-30 00:00:00
21,20230221,id_8446,yes,22.930625,72.536875,Sarkhej,IN,India,PetroPrime Exploration,Livestock and Agriculture,,,,53.0,765.0,40.54,1135.12,113512000.0,Ongoing,sustain.agency@india.gouv.in,8446,POINT (72.536875 22.930625),2023-02-21 00:00:00
22,20230323,id_2274,yes,28.51,77.44239999999999,Greater Noida,IN,India,MegaFuel Ltd.,Wastewater Treatment,,,,50.0,145.0,7.25,203.0,20300000.0,Ongoing,sust.compliance@india.gouv.in,2274,POINT (77.44239999999999 28.51),2023-03-23 00:00:00
23,20230227,id_6675,yes,31.52875,74.330625,Lahore,PK,Pakistan,NovaGold Resources,Coal Seam Fires,,,,62.0,6.0,0.37,10.36,1036000.0,To Be Verified,climate.agency@pakistan.gouv.pk,6675,POINT (74.330625 31.52875),2023-02-27 00:00:00
24,20230107,id_2542,yes,35.538,112.524,Fengcheng,CN,China,IronGiant Mining Ltd.,Coal Seam Fires,,,,32.0,101.0,3.23,90.44,9044000.0,Ongoing,env.regulator@china.gouv.cn,2542,POINT (112.524 35.538),2023-01-07 00:00:00
25,20230208,id_8613,yes,24.29,90.195,Sakhipur,BD,Bangladesh,ApexMining Corporation,Coal Seam Fires,,,,34.0,13.0,0.44,12.32,1232000.0,Ongoing,climate.agency@bangladesh.gouv.bd,8613,POINT (90.195 24.29),2023-02-08 00:00:00
26,20230121,id_2774,yes,18.666666666666668,73.74166666666666,Dehu,IN,India,BlackDiamond Mining,Livestock and Agriculture,,,,39.0,96.0,3.74,104.72,10472000.0,To Be Verified,green.officer@india.gouv.in,2774,POINT (73.74166666666666 18.666666666666668),2023-01-21 00:00:00
27,20230325,id_9715,yes,19.12400000000001,72.886,Powai,IN,India,SilverRock Mining Group,Landfills,,,,66.0,227.0,14.98,419.44,41944000.0,To Be Verified,sustainability.board@india.gouv.in,9715,POINT (72.886 19.12400000000001),2023-03-25 00:00:00
28,20230304,id_6459,yes,31.685,-104.02,Mentone,US,United States,BlackDiamond Mining,Livestock and Agriculture,,,,73.0,91.0,6.64,185.92,18592000.0,To Be Verified,csr.division@unitedstates.gouv.us,6459,POINT (-104.02 31.685),2023-03-04 00:00:00
29,20230330,id_0887,yes,38.475,54.25,Gumdag,TM,Turkmenistan,DiamondQuest Resources,Coal Seam Fires,,,,67.0,17.0,1.14,31.92,3192000.0,To Be Verified,sust.gov@turkmenistan.gouv.tm,0887,POINT (54.25 38.475),2023-03-30 00:00:00
30,20230204,id_2884,yes,23.565,90.765,Narayanganj,BD,Bangladesh,DiamondQuest Resources,Coal Seam Fires,,,,40.0,19.0,0.76,21.28,2128000.0,Ongoing,eco.gov@bangladesh.gouv.bd,2884,POINT (90.765 23.565),2023-02-04 00:00:00
31,20230112,id_0438,yes,36.66333333333333,109.86333333333334,Zhihe,CN,China,EnergyLink Holdings,Coal Seam Fires,,,,29.0,312.0,9.05,253.4,25340000.0,Ongoing,climate.division@china.gouv.cn,0438,POINT (109.86333333333334 36.66333333333333),2023-01-12 00:00:00
32,20230227,id_2774,yes,18.666666666666668,73.74166666666666,Dehu,IN,India,BlueSky Oil & Gas,Oil and Gas Production,,,,78.0,123.0,9.59,268.52,26852000.0,Ongoing,csr.commission@india.gouv.in,2774,POINT (73.74166666666666 18.666666666666668),2023-02-27 00:00:00
33,20230307,id_5726,yes,23.60333333333333,86.50999999999999,Bhojudih,IN,India,CrystalPeak Oil & Gas,Landfills,,,,51.0,442.0,22.54,631.12,63112000.0,Closed,climate.division@india.gouv.in,5726,POINT (86.50999999999999 23.60333333333333),2023-03-07 00:00:00
34,20230216,id_7566,yes,23.802,90.261,Azimpur,BD,Bangladesh,GoldPeak Minerals,Coal Seam Fires,,,,25.0,132.0,3.3,92.4,9240000.0,Closed,climate.division@bangladesh.gouv.bd,7566,POINT (90.261 23.802),2023-02-16 00:00:00
35,20230206,id_4187,yes,23.74,90.595,Narayanganj,BD,Bangladesh,BlackDiamond Mining,Livestock and Agriculture,,,,10.0,171.0,1.71,47.88,4788000.0,To Be Verified,esg.office@bangladesh.gouv.bd,4187,POINT (90.595 23.74),2023-02-06 00:00:00
36,20230219,id_6747,yes,25.79,85.395,Hajipur,IN,India,ApexMining Corporation,Coal Seam Fires,,,,68.0,57.0,3.88,108.64,10864000.0,Closed,green.regulator@india.gouv.in,6747,POINT (85.395 25.79),2023-02-19 00:00:00
37,20230315,id_3510,yes,37.57,62.0,Murgab,TM,Turkmenistan,CrystalPeak Oil & Gas,Landfills,,,,51.0,141.0,7.19,201.32,20132000.0,To Be Verified,green.regulator@turkmenistan.gouv.tm,3510,POINT (62 37.57),2023-03-15 00:00:00
38,20230320,id_7352,yes,37.63,61.65,Mary,TM,Turkmenistan,CoalRidge Exploration,Hydraulic Fracturing (Fracking),,,,21.0,62.0,1.3,36.4,3640000.0,Closed,eco.gov@turkmenistan.gouv.tm,7352,POINT (61.65 37.63),2023-03-20 00:00:00
39,20230329,id_3201,yes,61.045,61.855,Pelym,RU,Russian Federation,StarDrill Energy Inc.,Wastewater Treatment,,,,61.0,447.0,27.27,763.56,76356000.0,To Be Verified,csr.division@russianfederation.gouv.ru,3201,POINT (61.855 61.045),2023-03-29 00:00:00
40,20230327,id_9907,yes,-34.55125,-58.58625,Caseros,AR,Argentina,SilverRock Mining Group,Landfills,,,,31.0,81.0,2.51,70.28,7028000.0,Closed,climate.agency@argentina.gouv.ar,9907,POINT (-58.58625 -34.55125),2023-03-27 00:00:00
41,20230128,id_6546,yes,21.06,84.93666666666667,Angul,IN,India,GlobalEnergy Resources,Coal Mining,,,,12.0,6.0,0.07,1.96,196000.0,Ongoing,climate.regulator@india.gouv.in,6546,POINT (84.93666666666667 21.06),2023-01-28 00:00:00
42,20230403,id_2012,yes,34.8,40.77,Hajin,SY,Syrian Arab Republic,CoalRidge Exploration,Hydraulic Fracturing (Fracking),,,,40.0,110.0,4.4,123.2,12320000.0,To Be Verified,green.dept@syrianarabrepublic.gouv.sy,2012,POINT (40.77 34.8),2023-04-03 00:00:00
43,20230322,id_4447,yes,53.95454545454545,87.7790909090909,Myski,RU,Russian Federation,SilverRock Mining Group,Landfills,,,,63.0,82.0,5.17,144.76,14476000.0,To Be Verified,green.officer@russianfederation.gouv.ru,4447,POINT (87.7790909090909 53.95454545454545),2023-03-22 00:00:00
44,20230315,id_4447,yes,53.95454545454545,87.7790909090909,Myski,RU,Russian Federation,PetroPrime Exploration,Livestock and Agriculture,,,,46.0,7.0,0.32,8.96,896000.0,Ongoing,sustain.agency@russianfederation.gouv.ru,4447,POINT (87.7790909090909 53.95454545454545),2023-03-15 00:00:00
45,20230113,id_2040,yes,23.75,86.55999999999999,Gobindpur,IN,India,NovaGold Resources,Coal Seam Fires,,,,13.0,80.0,1.04,29.12,2912000.0,Closed,esg.compliance@india.gouv.in,2040,POINT (86.55999999999999 23.75),2023-01-13 00:00:00
46,20230211,id_9857,yes,23.1375,72.495,Adalaj,IN,India,SilverRock Mining Group,Landfills,,,,53.0,135.0,7.16,200.48,20048000.0,Ongoing,sustain.dept@india.gouv.in,9857,POINT (72.495 23.1375),2023-02-11 00:00:00
47,20230307,id_2274,yes,28.51,77.44239999999999,Greater Noida,IN,India,StarDrill Energy Inc.,Wastewater Treatment,,,,19.0,3.0,0.06,1.68,168000.0,Closed,sust.gov@india.gouv.in,2274,POINT (77.44239999999999 28.51),2023-03-07 00:00:00
48,20230205,id_8446,yes,22.930625,72.536875,Sarkhej,IN,India,NovaGold Resources,Coal Seam Fires,,,,21.0,7.0,0.15,4.2,420000.0,Ongoing,sustain.agency@india.gouv.in,8446,POINT (72.536875 22.930625),2023-02-05 00:00:00
49,20230221,id_7820,yes,17.475,78.58,Secunderabad,IN,India,DiamondQuest Resources,Coal Seam Fires,,,,8.0,36.0,0.29,8.12,812000.0,Ongoing,esg.compliance@india.gouv.in,7820,POINT (78.58 17.475),2023-02-21 00:00:00
